A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/5/2016 13:00,2016,1,5,13,11,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 14:00,2016,1,5,14,10,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 15:00,2016,1,5,15,12,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 16:00,2016,1,5,16,11,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 17:00,2016,1,5,17,11,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 18:00,2016,1,5,18,18,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 19:00,2016,1,5,19,25,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 20:00,2016,1,5,20,32,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 21:00,2016,1,5,21,29,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 22:00,2016,1,5,22,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2016 23:00,2016,1,5,23,31,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 0:00,2016,1,6,0,31,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 1:00,2016,1,6,1,27,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 2:00,2016,1,6,2,22,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 3:00,2016,1,6,3,10,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 4:00,2016,1,6,4,9,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 5:00,2016,1,6,5,9,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 6:00,2016,1,6,6,9,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 7:00,2016,1,6,7,10,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 8:00,2016,1,6,8,16,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 9:00,2016,1,6,9,21,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 10:00,2016,1,6,10,20,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 11:00,2016,1,6,11,32,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 12:00,2016,1,6,12,28,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 13:00,2016,1,6,13,23,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2016 14:00,2016,1,6,14,19,µg/m³,1 Hr,Valid
