Date,Value
9/16/14,101
9/17/14,107
9/18/14,105
9/19/14,88
9/20/14,97
9/21/14,78
9/22/14,177
9/23/14,140
9/24/14,37
9/25/14,118
9/26/14,78
9/27/14,80
9/28/14,151
9/29/14,89
9/30/14,51
10/1/14,94
10/2/14,101
10/3/14,126
10/4/14,141
10/5/14,164
10/6/14,131
10/7/14,119
10/8/14,125
10/9/14,152
10/10/14,285
10/11/14,280
10/12/14,58
10/13/14,150
10/14/14,220
10/15/14,143
10/16/14,83
10/17/14,139
10/18/14,156
10/19/14,113
10/20/14,200
10/21/14,264
10/22/14,269
10/23/14,179
10/24/14,132
10/25/14,252
10/26/14,226
10/27/14,163
10/28/14,269
10/29/14,306
10/30/14,422
10/31/14,725
11/1/14,652
11/2/14,61
11/3/14,137
11/4/14,109
11/5/14,102
11/6/14,123
11/7/14,195
11/8/14,230
11/9/14,201
11/10/14,223
11/11/14,221
11/12/14,51
11/13/14,137
11/14/14,153
11/15/14,356
11/16/14,386
11/17/14,207
11/18/14,227
11/19/14,188
11/20/14,129
11/21/14,239
11/22/14,249
11/23/14,155
11/24/14,135
11/25/14,280
11/26/14,130
11/27/14,85
11/28/14,254
11/29/14,296
11/30/14,180
12/1/14,62
12/2/14,56
12/3/14,51
12/4/14,57
12/5/14,124
12/6/14,111
12/7/14,295
12/8/14,237
12/9/14,281
12/10/14,128
12/11/14,125
12/12/14,260
12/13/14,106
12/14/14,350
12/15/14,321
12/16/14,101
12/17/14,155
12/18/14,364
12/19/14,103
12/20/14,121
12/21/14,195
12/22/14,292
12/23/14,178
12/24/14,135
12/25/14,266
12/26/14,462
12/27/14,157
12/28/14,205
12/29/14,344
12/30/14,110
12/31/14,39
1/1/15,59
1/2/15,83
1/3/15,92
1/4/15,189
1/5/15,165
1/6/15,106
1/7/15,75
1/8/15,271
1/9/15,441
1/10/15,303
1/11/15,190
1/12/15,344
1/13/15,236
1/14/15,219
1/15/15,254
1/16/15,182
1/17/15,90
1/18/15,166
1/19/15,236
1/20/15,330
1/21/15,210
1/22/15,445
1/23/15,448
1/24/15,237
1/25/15,235
1/26/15,184
1/27/15,179
1/28/15,373
1/29/15,224
1/30/15,69
1/31/15,384
2/1/15,268
2/2/15,273
2/3/15,223
2/4/15,219
2/5/15,208
2/6/15,182
2/7/15,45
2/8/15,64
2/9/15,134
2/10/15,232
2/11/15,205
2/12/15,88
2/13/15,135
2/14/15,212
2/15/15,395
2/16/15,323
2/17/15,95
2/18/15,259
2/19/15,932
2/20/15,217
2/21/15,126
2/22/15,345
2/23/15,67
2/24/15,188
2/25/15,144
2/26/15,88
2/27/15,90
2/28/15,202
3/1/15,111
3/2/15,152
3/3/15,55
3/4/15,52
3/5/15,122
3/6/15,81
3/7/15,248
3/8/15,139
3/9/15,32
3/10/15,67
3/11/15,99
3/12/15,99
3/13/15,93
3/14/15,117
3/15/15,108
3/16/15,137
3/17/15,123
3/18/15,142
3/19/15,156
3/20/15,202
3/21/15,177
3/22/15,199
3/23/15,98
3/24/15,232
3/25/15,168
3/26/15,138
3/27/15,132
3/28/15,144
3/29/15,200
3/30/15,169
3/31/15,112
4/1/15,97
4/2/15,143
4/3/15,98
4/4/15,98
4/5/15,116
4/6/15,70
4/7/15,63
4/8/15,120
4/9/15,96
4/10/15,156
4/11/15,130
4/12/15,84
4/13/15,107
4/14/15,130
4/15/15,144
4/16/15,67
4/17/15,115
4/18/15,193
4/19/15,62
4/20/15,121
4/21/15,143
4/22/15,197
4/23/15,60
4/24/15,96
4/25/15,107
4/26/15,174
4/27/15,85
4/28/15,91
4/29/15,92
4/30/15,84
5/1/15,79
5/2/15,83
5/3/15,94
5/4/15,32
5/5/15,133
5/6/15,132
5/7/15,134
5/8/15,42
5/9/15,51
5/10/15,91
5/11/15,55
5/12/15,59
5/13/15,173
5/14/15,77
5/15/15,48
5/16/15,84
5/17/15,103
5/18/15,58
5/19/15,81
5/20/15,36
5/21/15,77
5/22/15,80
5/23/15,65
5/24/15,69
5/25/15,95
5/26/15,94
5/27/15,123
5/28/15,59
5/29/15,97
5/30/15,113
5/31/15,107
6/1/15,71
6/2/15,47
6/3/15,63
6/4/15,59
6/5/15,58
6/6/15,57
6/7/15,98
6/8/15,48
6/9/15,94
6/10/15,73
6/11/15,35
6/12/15,101
6/13/15,92
6/14/15,109
6/15/15,117
6/16/15,122
6/17/15,82
6/18/15,65
6/19/15,40
6/20/15,65
6/21/15,101
6/22/15,155
6/23/15,54
6/24/15,48
6/25/15,61
6/26/15,189
6/27/15,155
6/28/15,89
6/29/15,64
6/30/15,100
7/1/15,31
7/2/15,62
7/3/15,84
7/4/15,88
7/5/15,67
7/6/15,61
7/7/15,115
7/8/15,117
7/9/15,83
7/10/15,47
7/11/15,69
7/12/15,108
7/13/15,50
7/14/15,76
7/15/15,40
7/16/15,41
7/17/15,39
7/18/15,150
7/19/15,87
7/20/15,80
7/21/15,88
7/22/15,NaN
7/23/15,NaN
7/24/15,NaN
7/25/15,NaN
7/26/15,NaN
7/27/15,NaN
7/28/15,NaN
7/29/15,NaN
7/30/15,NaN
7/31/15,NaN
8/1/15,NaN
8/2/15,NaN
8/3/15,NaN
8/4/15,NaN
8/5/15,NaN
8/6/15,NaN
8/7/15,NaN
8/8/15,NaN
8/9/15,NaN
8/10/15,NaN
8/11/15,NaN
