Date,Value
9/13/14,88
9/14/14,59
9/15/14,61
9/16/14,58
9/17/14,50
9/18/14,30
9/19/14,68
9/20/14,72
9/21/14,91
9/22/14,63
9/23/14,57
9/24/14,53
9/25/14,86
9/26/14,172
9/27/14,79
9/28/14,59
9/29/14,134
9/30/14,151
10/1/14,148
10/2/14,105
10/3/14,NaN
10/4/14,41
10/5/14,66
10/6/14,137
10/7/14,163
10/8/14,201
10/9/14,264
10/10/14,204
10/11/14,80
10/12/14,43
10/13/14,58
10/14/14,75
10/15/14,126
10/16/14,99
10/17/14,93
10/18/14,118
10/19/14,113
10/20/14,146
10/21/14,148
10/22/14,115
10/23/14,129
10/24/14,209
10/25/14,223
10/26/14,314
10/27/14,232
10/28/14,80
10/29/14,77
10/30/14,74
10/31/14,74
11/1/14,38
11/2/14,40
11/3/14,75
11/4/14,169
11/5/14,158
11/6/14,185
11/7/14,100
11/8/14,83
11/9/14,68
11/10/14,79
11/11/14,111
11/12/14,131
11/13/14,70
11/14/14,121
11/15/14,90
11/16/14,78
11/17/14,68
11/18/14,79
11/19/14,117
11/20/14,105
11/21/14,141
11/22/14,154
11/23/14,167
11/24/14,91
11/25/14,113
11/26/14,143
11/27/14,85
11/28/14,87
11/29/14,106
11/30/14,119
12/1/14,73
12/2/14,86
12/3/14,92
12/4/14,101
12/5/14,112
12/6/14,153
12/7/14,140
12/8/14,286
12/9/14,161
12/10/14,68
12/11/14,80
12/12/14,126
12/13/14,113
12/14/14,118
12/15/14,151
12/16/14,55
12/17/14,83
12/18/14,105
12/19/14,134
12/20/14,206
12/21/14,200
12/22/14,168
12/23/14,169
12/24/14,219
12/25/14,223
12/26/14,229
12/27/14,217
12/28/14,163
12/29/14,217
12/30/14,284
12/31/14,270
1/1/15,210
1/2/15,233
1/3/15,211
1/4/15,233
1/5/15,213
1/6/15,214
1/7/15,105
1/8/15,134
1/9/15,127
1/10/15,115
1/11/15,181
1/12/15,233
1/13/15,288
1/14/15,265
1/15/15,349
1/16/15,172
1/17/15,228
1/18/15,166
1/19/15,170
1/20/15,227
1/21/15,253
1/22/15,296
1/23/15,296
1/24/15,243
1/25/15,253
1/26/15,197
1/27/15,233
1/28/15,67
1/29/15,93
1/30/15,91
1/31/15,71
2/1/15,79
2/2/15,124
2/3/15,130
2/4/15,177
2/5/15,115
2/6/15,181
2/7/15,157
2/8/15,140
2/9/15,170
2/10/15,215
2/11/15,215
2/12/15,197
2/13/15,245
2/14/15,227
2/15/15,202
2/16/15,107
2/17/15,153
2/18/15,178
2/19/15,211
2/20/15,96
2/21/15,109
2/22/15,72
2/23/15,55
2/24/15,57
2/25/15,54
2/26/15,52
2/27/15,84
2/28/15,55
3/1/15,60
3/2/15,101
3/3/15,103
3/4/15,75
3/5/15,73
3/6/15,110
3/7/15,133
3/8/15,119
3/9/15,156
3/10/15,104
3/11/15,95
3/12/15,127
3/13/15,130
3/14/15,159
3/15/15,163
3/16/15,139
3/17/15,105
3/18/15,98
3/19/15,110
3/20/15,75
3/21/15,86
3/22/15,77
3/23/15,82
3/24/15,55
3/25/15,115
3/26/15,102
3/27/15,143
3/28/15,181
3/29/15,163
3/30/15,127
3/31/15,148
4/1/15,95
4/2/15,54
4/3/15,73
4/4/15,41
4/5/15,43
4/6/15,26
4/7/15,35
4/8/15,73
4/9/15,69
4/10/15,69
4/11/15,93
4/12/15,114
4/13/15,127
4/14/15,131
4/15/15,160
4/16/15,169
4/17/15,132
4/18/15,78
4/19/15,59
4/20/15,83
4/21/15,65
4/22/15,59
4/23/15,77
4/24/15,75
4/25/15,92
4/26/15,150
4/27/15,172
4/28/15,185
4/29/15,209
4/30/15,197
5/1/15,72
5/2/15,81
5/3/15,122
5/4/15,83
5/5/15,90
5/6/15,143
5/7/15,139
5/8/15,53
5/9/15,93
5/10/15,151
5/11/15,86
5/12/15,77
5/13/15,103
5/14/15,116
5/15/15,113
5/16/15,48
5/17/15,94
5/18/15,148
5/19/15,91
5/20/15,106
5/21/15,60
5/22/15,43
5/23/15,56
5/24/15,67
5/25/15,89
5/26/15,204
5/27/15,224
5/28/15,104
5/29/15,61
5/30/15,71
5/31/15,79
6/1/15,82
6/2/15,112
6/3/15,45
6/4/15,46
6/5/15,40
6/6/15,62
6/7/15,112
6/8/15,88
6/9/15,72
6/10/15,99
6/11/15,83
6/12/15,60
6/13/15,57
6/14/15,81
6/15/15,89
6/16/15,143
6/17/15,97
6/18/15,82
6/19/15,90
6/20/15,52
6/21/15,65
6/22/15,99
6/23/15,51
6/24/15,33
6/25/15,69
6/26/15,123
6/27/15,92
6/28/15,77
6/29/15,51
6/30/15,60
7/1/15,59
7/2/15,119
7/3/15,48
7/4/15,58
7/5/15,67
7/6/15,47
7/7/15,61
7/8/15,106
7/9/15,78
7/10/15,81
7/11/15,85
7/12/15,100
