A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/2.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/2.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Chengdu,PM2.5,1/2/2016 11:00,2016,1,2,11,210,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 12:00,2016,1,2,12,180,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 13:00,2016,1,2,13,162,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 14:00,2016,1,2,14,144,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 15:00,2016,1,2,15,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 16:00,2016,1,2,16,118,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 17:00,2016,1,2,17,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 18:00,2016,1,2,18,143,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 19:00,2016,1,2,19,138,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 20:00,2016,1,2,20,115,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 21:00,2016,1,2,21,117,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 22:00,2016,1,2,22,128,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/2/2016 23:00,2016,1,2,23,126,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 0:00,2016,1,3,0,121,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 1:00,2016,1,3,1,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 2:00,2016,1,3,2,134,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 3:00,2016,1,3,3,117,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 4:00,2016,1,3,4,111,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 5:00,2016,1,3,5,97,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 6:00,2016,1,3,6,104,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 7:00,2016,1,3,7,146,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 8:00,2016,1,3,8,165,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 9:00,2016,1,3,9,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 10:00,2016,1,3,10,172,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 11:00,2016,1,3,11,152,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 12:00,2016,1,3,12,155,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 13:00,2016,1,3,13,141,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 14:00,2016,1,3,14,125,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 15:00,2016,1,3,15,132,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 16:00,2016,1,3,16,128,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 17:00,2016,1,3,17,130,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 18:00,2016,1,3,18,143,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 19:00,2016,1,3,19,158,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 20:00,2016,1,3,20,167,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 21:00,2016,1,3,21,145,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 22:00,2016,1,3,22,144,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/3/2016 23:00,2016,1,3,23,163,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 0:00,2016,1,4,0,183,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 1:00,2016,1,4,1,178,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 2:00,2016,1,4,2,164,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 3:00,2016,1,4,3,176,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 4:00,2016,1,4,4,174,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 5:00,2016,1,4,5,176,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 6:00,2016,1,4,6,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 7:00,2016,1,4,7,222,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 8:00,2016,1,4,8,233,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 9:00,2016,1,4,9,244,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 10:00,2016,1,4,10,248,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 11:00,2016,1,4,11,246,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 12:00,2016,1,4,12,219,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 13:00,2016,1,4,13,162,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 14:00,2016,1,4,14,112,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 15:00,2016,1,4,15,100,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 16:00,2016,1,4,16,83,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 17:00,2016,1,4,17,98,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 18:00,2016,1,4,18,129,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 19:00,2016,1,4,19,146,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 20:00,2016,1,4,20,140,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 21:00,2016,1,4,21,136,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 22:00,2016,1,4,22,121,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/4/2016 23:00,2016,1,4,23,125,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 0:00,2016,1,5,0,122,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 1:00,2016,1,5,1,130,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 2:00,2016,1,5,2,134,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 3:00,2016,1,5,3,166,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 4:00,2016,1,5,4,178,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 5:00,2016,1,5,5,189,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 6:00,2016,1,5,6,201,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 7:00,2016,1,5,7,222,µg/m³,1 Hr,Valid
Chengdu,PM2.5,1/5/2016 8:00,2016,1,5,8,195,µg/m³,1 Hr,Valid
